Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",25.200000,-57.300000,90.000000,bottom
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.200000,-57.300000,90.000000,bottom
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.300000,-57.300000,90.000000,bottom
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",79.590000,-57.200000,0.000000,bottom
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",25.200000,-76.410000,90.000000,bottom
"D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.300000,-76.410000,90.000000,bottom
"D7","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.300000,-76.400000,90.000000,bottom
"D8","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",82.400000,-76.410000,90.000000,bottom
"D9","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",101.400000,-76.410000,90.000000,bottom
"D10","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",25.200000,-95.400000,90.000000,bottom
"D11","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.200000,-95.400000,90.000000,bottom
"D12","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.300000,-95.400000,90.000000,bottom
"D13","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",82.400000,-95.400000,90.000000,bottom
"D14","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",101.400000,-95.400000,90.000000,bottom
"D15","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",25.200000,-114.400000,90.000000,bottom
"D16","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.200000,-114.400000,90.000000,bottom
"D17","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.300000,-114.400000,90.000000,bottom
"D18","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",82.400000,-114.400000,90.000000,bottom
"D19","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",85.000000,-115.000000,-90.000000,bottom
"D20","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",30.310000,-133.400000,180.000000,bottom
"D21","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",63.300000,-133.500000,90.000000,bottom
"D22","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",70.390000,-133.400000,0.000000,bottom
"J2","Conn_01x02_Socket","Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical",3.700000,-33.100000,-90.000000,bottom
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Horizontal",33.000000,-10.600000,90.000000,bottom
"MX1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",16.900000,-48.875000,180.000000,bottom
"MX2","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",35.950000,-48.875000,180.000000,bottom
"MX3","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",55.000000,-48.875000,180.000000,bottom
"MX4","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",83.575000,-48.875000,180.000000,bottom
"MX5","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",16.900000,-67.925000,180.000000,bottom
"MX6","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",35.950000,-67.925000,180.000000,bottom
"MX7","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",55.000000,-67.925000,180.000000,bottom
"MX8","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",74.050000,-67.925000,180.000000,bottom
"MX9","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",93.100000,-67.925000,180.000000,bottom
"MX10","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",16.900000,-86.975000,180.000000,bottom
"MX11","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",35.950000,-86.975000,180.000000,bottom
"MX12","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",55.000000,-86.975000,180.000000,bottom
"MX13","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",74.050000,-86.975000,180.000000,bottom
"MX14","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",93.100000,-86.975000,180.000000,bottom
"MX15","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",16.900000,-106.025000,180.000000,bottom
"MX16","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",35.950000,-106.025000,180.000000,bottom
"MX17","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",55.000000,-106.025000,180.000000,bottom
"MX18","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",74.050000,-106.025000,180.000000,bottom
"MX19","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",93.100000,-115.550000,90.000000,bottom
"MX20","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",26.430000,-125.075000,180.000000,bottom
"MX21","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",55.000000,-125.075000,180.000000,bottom
"MX22","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",74.050000,-125.075000,180.000000,bottom
"U2","~","TP4056_Module",14.296000,-16.630000,-90.000000,bottom
